,historicals,companies,#results,clientid,upload,date,uploadedby,filename,status
0,ipswich bury road.csv,ZZZZZZZZZZZZ,0,ZZZZZZZZZZZZ,0,Did not attempt,,,
1,wisbeech.csv,ZZZZZZZZZZZZ,0,ZZZZZZZZZZZZ,0,Did not attempt,,,
2,newport west.csv,KFC - Newport West,1,newport west,1,"Jul 13, 2022",Grant Read,newport west.csv,Uploaded successfully
3,newport pullman.csv,KFC - Newport Pullman,1,newport pullman,1,"Jul 13, 2022",Grant Read,newport pullman.csv,Uploaded successfully
4,newport friars walk.csv,KFC - Newport Friars Walk,1,newport friars walk,0,Did not attempt,,,
5,nantgarw.csv,KFC - Nantgarw,1,nantgarw,0,Did not attempt,,,
6,merthyr tydfil.csv,KFC - Merthyr Tydfil,1,merthyr tydfil,0,Did not attempt,,,
7,melton mowbray.csv,KFC - Melton Mowbray,1,melton mowbray,0,Did not attempt,,,
8,luton wigmore.csv,KFC - Luton Wigmore,1,luton wigmore,0,Did not attempt,,,
9,luton mall.csv,KFC - Luton Mall,1,luton mall,0,Did not attempt,,,
10,luton hatters way.csv,KFC - Luton Hatters Way,1,luton hatters way,0,Did not attempt,,,
11,luton express.csv,KFC - Luton Express,1,luton express,0,Did not attempt,,,
12,lowestoft.csv,KFC - Lowestoft,1,lowestoft,0,Did not attempt,,,
13,loughton.csv,KFC - Loughton,1,loughton,0,Did not attempt,,,
14,loughborough.csv,KFC - Loughborough,1,loughborough,0,Did not attempt,,,
15,long eaton.csv,KFC - Long Eaton,1,long eaton,0,Did not attempt,,,
16,llanelli.csv,KFC - Llanelli,1,llanelli,0,Did not attempt,,,
17,leighton buzzard.csv,KFC - Leighton Buzzard,1,leighton buzzard,0,Did not attempt,,,
18,leicester services.csv,KFC - Leicester Services,1,leicester services,0,Did not attempt,,,
19,leicester last straw.csv,KFC - Leicester Last Straw,1,leicester last straw,0,Did not attempt,,,
20,leicester high street.csv,KFC - Leicester High Street,1,leicester high street,0,Did not attempt,,,
21,leicester hamilton.csv,KFC - Leicester Hamilton,1,leicester hamilton,0,Did not attempt,,,
22,leicester fosse park.csv,KFC - Fosse Park,0,fosse,0,Did not attempt,,,
23,leicester braunstone.csv,KFC - Leicester Braunstone,1,leicester braunstone,0,Did not attempt,,,
24,kings lynn.csv,KFC - Kings Lynn,1,kings lynn,0,Did not attempt,,,
25,ipswich martlesham.csv,KFC - Ipswich - Martlesham,0,martlesham,0,Did not attempt,,,
26,ipswich felixstowe.csv,KFC - Ipswich - Felixstowe,0,felixstowe,0,Did not attempt,,,
27,norwich chapelfield.csv,KFC - Norwich - Chapelfield,0,chapelfield,0,Did not attempt,,,
28,norwich longwater.csv,KFC - Norwich - Longwater,0,longwater,0,Did not attempt,,,
29,norwich mile cross.csv,KFC - Norwich - Mile Cross,0,mile,0,Did not attempt,,,
30,norwich sprowston.csv,KFC - Norwich - Sprowston,0,sprowston,0,Did not attempt,,,
31,wincanton.csv,KFC - Wincanton,1,wincanton,0,Did not attempt,,,
32,wimbledon.csv,KFC - Wimbledon,1,wimbledon,0,Did not attempt,,,
33,wembley.csv,KFC - Wembley,1,wembley,0,Did not attempt,,,
34,uttoxeter.csv,KFC - Uttoxeter,1,uttoxeter,0,Did not attempt,,,
35,tooting.csv,KFC - Tooting,1,tooting,0,Did not attempt,,,
36,thorpe park.csv,KFC - Thorpe Park,1,thorpe park,0,Did not attempt,,,
37,talbot green.csv,KFC - Port Talbot,0,talbot,0,Did not attempt,,,
38,swindon outlet centre.csv,KFC - Swindon Outlet Centre,1,swindon outlet centre,0,Did not attempt,,,
39,swindon greenbridge.csv,KFC - Swindon Greenbridge,1,swindon greenbridge,0,Did not attempt,,,
40,swindon delta.csv,KFC - Swindon Delta,1,swindon delta,0,Did not attempt,,,
41,swindon clive parade.csv,KFC - Swindon Clive Parade,1,swindon clive parade,0,Did not attempt,,,
42,swansea morganite.csv,KFC - Swansea Morganite,1,swansea morganite,0,Did not attempt,,,
43,swansea morfa.csv,KFC - Swansea Morfa,1,swansea morfa,0,Did not attempt,,,
44,swansea fforestfach.csv,KFC - Swansea Fforestfach,1,swansea fforestfach,0,Did not attempt,,,
45,stevenage roaring meg.csv,KFC - Stevenage Roaring Meg,1,stevenage roaring meg,0,Did not attempt,,,
46,stevenage leisure.csv,KFC - Stevenage Leisure,1,stevenage leisure,0,Did not attempt,,,
47,ruislip.csv,KFC - Ruislip,1,ruislip,0,Did not attempt,,,
48,risca.csv,KFC - Newport Risca,1,risca,0,Did not attempt,,,
49,redhill.csv,KFC - Redhill,1,redhill,0,Did not attempt,,,
50,porth cymer road.csv,KFC - Porth - Cymer Road,0,porth,0,Did not attempt,,,
51,port talbot.csv,KFC - Port Talbot,1,port talbot,0,Did not attempt,,,
52,pontypool.csv,KFC - Pontypool,1,pontypool,0,Did not attempt,,,
53,peterborough paston parkway.csv,KFC - Peterborough Paston Parkway,1,peterborough paston parkway,0,Did not attempt,,,
54,peterborough london road.csv,KFC - Peterborough London Road,1,peterborough london road,0,Did not attempt,,,
55,peterborough ashbourne road.csv,KFC - Peterborough Ashbourne,0,ashbourne,0,Did not attempt,,,
56,ipswich cardinal park.csv,KFC - Ipswich - Cardinal Park,0,cardinal,0,Did not attempt,,,
57,wood green express.csv,KFC - Wood Green Express,1,wood green express,0,Did not attempt,,,
58,aberdare.csv,KFC - Aberdare,1,aberdare,0,Did not attempt,,,
59,hendon.csv,KFC - Hendon,1,hendon,0,Did not attempt,,,
60,cardiff newport road.csv,KFC - Cardiff Newport Road,1,cardiff newport road,0,Did not attempt,,,
61,cardiff leckwith road.csv,KFC - Cardiff Leckwith,0,leckwith,0,Did not attempt,,,
62,cardiff excelsior road.csv,KFC - Cardiff Excelsior Road,1,cardiff excelsior road,0,Did not attempt,,,
63,camberwell.csv,KFC - Camberwell,1,camberwell,0,Did not attempt,,,
64,caerphilly.csv,KFC - Caerphilly,1,caerphilly,0,Did not attempt,,,
65,bury st edmunds.csv,KFC - Bury St Edmunds,1,bury st edmunds,0,Did not attempt,,,
66,burton.csv,KFC - Burton,1,burton,0,Did not attempt,,,
67,bristol union street.csv,KFC - Bristol Union Street,1,bristol union street,0,Did not attempt,,,
68,bristol fishponds.csv,KFC - Bristol Fishponds,1,bristol fishponds,0,Did not attempt,,,
69,bristol filton.csv,KFC - Bristol Filton,1,bristol filton,0,Did not attempt,,,
70,bristol bradley stoke.csv,KFC - Bristol Bradley Stoke,1,bristol bradley stoke,0,Did not attempt,,,
71,bridgend mcarthurglen.csv,KFC - Bridgend McArthurGlen,1,bridgend mcarthurglen,0,Did not attempt,,,
72,bridgend hernston.csv,KFC - Bridgend Hernston,1,bridgend hernston,0,Did not attempt,,,
73,blackwood.csv,KFC - Blackwood,1,blackwood,0,Did not attempt,,,
74,beeston.csv,KFC - Beeston,1,beeston,0,Did not attempt,,,
75,beaconsfield services.csv,KFC - Beaconsfield,0,beaconsfield,0,Did not attempt,,,
76,bath.csv,KFC - Bath,1,bath,0,Did not attempt,,,
77,barry.csv,KFC - Barry,1,barry,0,Did not attempt,,,
78,baker street.csv,KFC - Baker Street,1,baker street,0,Did not attempt,,,
79,aylesbury retail park.csv,KFC - Aylesbury Retail Park,1,aylesbury retail park,0,Did not attempt,,,
80,aylesbury express.csv,KFC - Aylesbury Express,1,aylesbury express,0,Did not attempt,,,
81,ashby de-la-zouch.csv,KFC - Ashby De-la-Zouch,1,ashby de-la-zouch,0,Did not attempt,,,
82,archway.csv,KFC - Archway,1,archway,0,Did not attempt,,,
83,apex corner.csv,KFC - Apex Corner,1,apex corner,0,Did not attempt,,,
84,alperton.csv,KFC - Alperton,1,alperton,0,Did not attempt,,,
85,cardiff queen street.csv,KFC - Cardiff Queen Street,1,cardiff queen street,0,Did not attempt,,,
86,cardiff st mary street.csv,KFC - Cardiff St Mary Street,1,cardiff st mary street,0,Did not attempt,,,
87,carmarthen.csv,KFC - Carmarthen,1,carmarthen,0,Did not attempt,,,
88,clapham.csv,KFC - Clapham,1,clapham,0,Did not attempt,,,
89,heathrow.csv,KFC - Heathrow,1,heathrow,0,Did not attempt,,,
90,harrow weald.csv,KFC - Harrow Weald,1,harrow weald,0,Did not attempt,,,
91,harrow road.csv,KFC - Harrow Road,1,harrow road,0,Did not attempt,,,
92,harlow retail park.csv,KFC - Harlow Retail Park,1,harlow retail park,0,Did not attempt,,,
93,harlow express.csv,KFC - Harlow Express,1,harlow express,0,Did not attempt,,,
94,harlesden.csv,KFC - Harlesden,1,harlesden,0,Did not attempt,,,
95,greenford.csv,KFC - Greenford,1,greenford,0,Did not attempt,,,
96,gloucester road.csv,KFC - Gloucester Road,1,gloucester road,0,Did not attempt,,,
97,glastonbury.csv,KFC - Glastonbury,1,glastonbury,0,Did not attempt,,,
98,frome.csv,KFC - Frome,1,frome,0,Did not attempt,,,
99,finsbury park.csv,KFC - Finsbury Park,1,finsbury park,0,Did not attempt,,,
100,edmonton.csv,KFC - Edmonton,1,edmonton,0,Did not attempt,,,
101,hornchurch.csv,KFC - Hornchurch,1,hornchurch,0,Did not attempt,,,
102,ebbw vale.csv,KFC - Ebbw Vale,1,ebbw vale,0,Did not attempt,,,
103,dunstable white lion.csv,KFC - Dunstable White Lion,1,dunstable white lion,0,Did not attempt,,,
104,dunstable express.csv,KFC - Dunstable Express,1,dunstable express,0,Did not attempt,,,
105,derby services.csv,KFC - Derby Services,1,derby services,0,Did not attempt,,,
106,cwmbran.csv,KFC - Cwmbran,1,cwmbran,0,Did not attempt,,,
107,croydon london road.csv,KFC - Croydon London Road,1,croydon london road,0,Did not attempt,,,
108,croydon addiscombe.csv,KFC - Croydon Addiscombe,1,croydon addiscombe,0,Did not attempt,,,
109,cross hands.csv,KFC - Cross Hands,1,cross hands,0,Did not attempt,,,
110,cricklewood.csv,KFC - Cricklewood,1,cricklewood,0,Did not attempt,,,
111,corby.csv,KFC - Corby,1,corby,0,Did not attempt,,,
112,colindale.csv,KFC - Colindale,1,colindale,0,Did not attempt,,,
113,cobham.csv,KFC - Cobham,1,cobham,0,Did not attempt,,,
114,coalville.csv,KFC - Coalville,1,coalville,0,Did not attempt,,,
115,earls court.csv,KFC - Earls Court Road,1,earls court,0,Did not attempt,,,
116,wood green restaurant.csv,KFC - Wood Green Restaurant,1,wood green restaurant,0,Did not attempt,,,
